Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"8,3 tỷ","Đường Quốc Lộ 13, Phường 26, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","40,4 m² (4,0x10,0)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
"10,5 tỷ","Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","95 m² (5,8x19,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"8,8 tỷ","Đường Nơ Trang Long, Phường 14, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","108 m² (5,0x22,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"4,95 tỷ","Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",41 m²,5 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
44 tỷ,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,330 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,68 tỷ","Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","47 m² (4,0x12,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"11,5 tỷ","Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","70 m² (4,6x16,0)",11 phòng,12 WC,N/A,N/A,N/A,Sổ hồng
"11,2 tỷ","69/6, Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"90 m² (4,5x20,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
"15,5 tỷ","Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","100 m² (4,1x25,0)",11 phòng,12 WC,4,N/A,N/A,Sổ hồng
12 tỷ,"818/48, Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",66 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"9,2 tỷ","220/87, Đường Hoàng Hoa Thám, Phường 5, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",4 phòng,N/A,3,N/A,N/A,Sổ hồng
"6,9 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","45 m² (5,0x9,0)",5 phòng,5 WC,4,Tây,Tây,Sổ hồng
"5,8 tỷ","Đường Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",60 m²,5 phòng,5 WC,N/A,N/A,Đông Nam,Sổ hồng
22 tỷ,"Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"5,4 tỷ","Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","45 m² (4,5x10,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","52 m² (3,8x14,0)",4 phòng,5 WC,4,N/A,N/A,Giấy tờ hợp lệ
"8,9 tỷ","Đường Phan Văn Trị, Phường 14, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","110 m² (5,0x22,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
35 tỷ,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","120 m² (6,0x20,0)",27 phòng,27 WC,7,N/A,N/A,Sổ hồng
"7,15 tỷ","Đường Phan Văn Trị, Phường 14, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","68 m² (3,2x21,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"14,5 tỷ","Đường Chu Văn An, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","90 m² (4,0x19,0)",15 phòng,16 WC,6,N/A,N/A,Sổ hồng
"26,9 tỷ","Đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"130 m² (8,0x18,0)",5 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"19,9 tỷ","Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",6 phòng,6 WC,5,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","42 m² (3,7x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"5,38 tỷ","Đường Nguyễn Lâm, Phường 3, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","30 m² (5,0x6,5)",3 phòng,2 WC,2,Bắc,Bắc,Sổ hồng
"6,38 tỷ","Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","50 m² (3,4x12,5)",3 phòng,3 WC,2,Bắc,Bắc,Sổ hồng
"8,5 tỷ","281/, Đường Bình Lợi, Phường 13, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",1 phòng,1 WC,N/A,N/A,N/A,Hợp đồng mua bán
"9,7 tỷ","Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","60 m² (5,5x11,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
"5,98 tỷ","Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",40 m²,3 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"5,55 tỷ","87, Đường Đinh Tiên Hoàng, Phường 3, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","46,3 m² (3,1x16,0)",3 phòng,2 WC,2,Đông,Đông,Sổ hồng
"11,9 tỷ","Đường Bình Lợi, Phường 13, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
