Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"3,65 tỷ","81/50, Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","28 m² (7,0x4,0)",2 phòng,2 WC,1,N/A,N/A,Sổ hồng
"2,55 tỷ","Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","678 m² (4,0x17,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"2,37 tỷ","Đường Hoàng Việt, Phường 4, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","49,3 m² (3,5x14,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
11 tỷ,"Đường Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"71 m² (4,2x17,0)",3 phòng,2 WC,2,N/A,N/A,Sổ đỏ
"31,5 tỷ","Đường Phan Huy Ích, Phường 15, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"200 m² (14,0x14,0)",45 phòng,47 WC,N/A,N/A,N/A,Sổ đỏ
"5,2 tỷ","30/20C, Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","50 m² (3,3x16,0)",1 phòng,1 WC,2,N/A,N/A,Sổ hồng
"15,8 tỷ","Đường Nhất Chi Mai, Phường 13, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"66 m² (4,7x14,0)",5 phòng,6 WC,N/A,N/A,Tây Bắc,Sổ hồng
"2,35 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"2,55 tỷ","Đường Hoàng Sa, Phường 5, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",55 m²,4 phòng,3 WC,4,N/A,N/A,Sổ hồng
12 tỷ,"Đường Bàu Cát 1, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","175 m² (5,0x35,0)",5 phòng,3 WC,2,N/A,N/A,Sổ hồng
"3,2 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"2,65 tỷ","Đường Nguyễn Minh Hoàng, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",68 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"10,99 tỷ","Đường Thiên Phước, Phường 9, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","80 m² (4,1x20,0)",10 phòng,10 WC,4,N/A,N/A,Sổ đỏ
"4,39 tỷ","Đường Đặng Văn Sâm, Phường 2, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"75 m² (6,0x12,5)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"4,65 tỷ","58/35/83, Đường Âu Cơ, Phường 9, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","36,6 m² (3,2x12,0)",N/A,N/A,2,N/A,N/A,Sổ hồng
"2,35 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ",56 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"2,46 tỷ","Đường Bế Văn Đàn, Phường 14, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"48 m² (4,0x12,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"5,85 tỷ","55, Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","38 m² (4,0x10,0)",4 phòng,3 WC,4,N/A,Bắc,Sổ hồng
"5,2 tỷ","Đường Trường Chinh, Phường 12, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","52 m² (3,5x13,7)",3 phòng,2 WC,3,N/A,N/A,Sổ hồng
"2,96 tỷ","Đường Nguyễn Bặc, Phường 3, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"60 m² (5,0x12,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
"2,1 tỷ","Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","37,5 m² (4,0x9,5)",2 phòng,3 WC,2,N/A,N/A,Sổ hồng
14 tỷ,"127/c, Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",5 phòng,6 WC,4,N/A,N/A,Sổ hồng
49 tỷ,"Đường B6, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"160 m² (5,0x20,0)",7 phòng,8 WC,4,N/A,Bắc,Sổ hồng
"22,5 tỷ","Đường Văn Chung, Phường 13, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","230 m² (7,0x20,0)",6 phòng,6 WC,1,N/A,Tây Nam,Sổ hồng
