Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
9 tỷ,"TK12/10, Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","54 m² (4,9x11,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"16,5 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ",60 m²,N/A,N/A,2,N/A,Đông Nam,Sổ hồng
32 tỷ,"Đường Võ Thị Sáu, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"76 m² (5,0x18,0)",N/A,N/A,5,N/A,N/A,Sổ hồng
18 tỷ,"215B, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ","83,9 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
37 tỷ,"Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"80 m² (4,5x18,0)",N/A,N/A,6,N/A,N/A,Sổ đỏ
26 tỷ,"78, Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"61,6 m² (4,0x18,5)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,8 tỷ","Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ","33,6 m² (4,2x8,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"6,7 tỷ","Đường Cô Giang, Phường Cô Giang, Quận 1, TP.HCM","Nhà hẻm, ngõ",39 m²,3 phòng,N/A,2,N/A,Đông Bắc,Sổ hồng
"3,8 tỷ","Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ",30 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
32 tỷ,"Đường Đinh Tiên Hoàng, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"62 m² (4,3x16,0)",10 phòng,11 WC,N/A,N/A,N/A,Sổ hồng
"4,25 tỷ","Đường Cô Giang, Phường Cô Giang, Quận 1, TP.HCM","Nhà hẻm, ngõ",70 m²,4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ",25 m²,5 phòng,5 WC,4,N/A,Tây Nam,Sổ hồng
220 tỷ,"Đường Phan Liêm, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"655 m² (20,0x35,0)",10 phòng,10 WC,10,N/A,N/A,Sổ hồng
320 tỷ,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM","Biệt thự, Villa","312 m² (15,0x26,0)",10 phòng,N/A,N/A,N/A,N/A,Sổ hồng
33 tỷ,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"54 m² (4,5x12,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
69 tỷ,"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",Nhà mặt tiền,"89,5 m² (4,5x21,0)",28 phòng,N/A,7,N/A,N/A,Giấy tờ hợp lệ
55 tỷ,"Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45 tỷ,"34, Đường Nam Quốc Cang, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",Nhà mặt tiền,"74 m² (6,2x12,0)",4 phòng,4 WC,1,N/A,N/A,Sổ hồng
52 tỷ,"Đường Trần Nhật Duật, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,88 m²,N/A,N/A,4,N/A,N/A,Sổ hồng
45 tỷ,"Đường Đề Thám, Phường Cô Giang, Quận 1, TP.HCM",Nhà mặt tiền,"76 m² (4,0x20,0)",23 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
19 tỷ,"Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","Nhà hẻm, ngõ","81 m² (3,5x23,5)",6 phòng,8 WC,5,Tây Bắc,Tây Bắc,Sổ hồng
"7,2 tỷ","18a/111/14, Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","39 m² (3,5x13,0)",7 phòng,4 WC,N/A,N/A,N/A,Sổ đỏ
17 tỷ,"27, Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"445,6 m² (4,3x20,0)",N/A,1 WC,N/A,Đông Bắc,Đông Bắc,Sổ hồng
18 tỷ,"8, Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"52 m² (3,8x15,0)",4 phòng,4 WC,1,N/A,N/A,Sổ hồng
"4,45 tỷ","24//, Đường Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","33,3 m² (3,0x11,0)",2 phòng,3 WC,3,N/A,N/A,Sổ hồng
"7,8 tỷ","Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ",58 m²,N/A,N/A,N/A,N/A,Đông Bắc,Sổ hồng
45 tỷ,"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ","160 m² (11,0x16,0)",10 phòng,12 WC,7,N/A,Đông Nam,Sổ hồng
260 tỷ,"Đường Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"198 m² (10,7x19,0)",N/A,N/A,7,N/A,N/A,Sổ hồng
39 tỷ,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"67 m² (4,5x16,0)",N/A,N/A,5,N/A,N/A,Sổ hồng
40 tỷ,"Đường Cô Bắc, Phường Cô Giang, Quận 1, TP.HCM",Nhà mặt tiền,92 m²,N/A,N/A,5,N/A,N/A,Sổ hồng
"64,88 tỷ","47 , Đường Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"72 m² (10,0x14,0)",5 phòng,5 WC,3,Tây Bắc,Tây Bắc,Sổ hồng
700 tỷ,"33, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"825,3 m² (19,0x43,5)",N/A,N/A,1,N/A,N/A,Sổ hồng
450 tỷ,"54 - 56, Đường Lê Lợi, Phường Bến Nghé, Quận 1, TP.HCM",Nhà mặt tiền,"229,7 m² (7,3x26,4)",N/A,N/A,1,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ",25 m²,N/A,N/A,5,N/A,Tây Nam,Sổ hồng
200 tỷ,"27-29, Đường Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, TP.HCM",Nhà mặt tiền,291 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
55 tỷ,"5F, Đường Trần Nhật Duật, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"87,9 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
31 tỷ,"55, Đường Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","Nhà hẻm, ngõ","92 m² (4,1x23,0)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
19 tỷ,"Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","Nhà hẻm, ngõ","85 m² (4,0x24,0)",6 phòng,7 WC,5,N/A,N/A,Sổ hồng
48 tỷ,"Đường Mai Thị Lựu, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,146 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
69 tỷ,"9A, Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",Nhà mặt tiền,90 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,55 tỷ","Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ","22 m² (3,2x7,5)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
25 tỷ,"Đường Ký Con, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","Nhà hẻm, ngõ","77 m² (4,2x18,0)",17 phòng,18 WC,6,N/A,N/A,Sổ hồng
19 tỷ,"Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ","54 m² (3,4x15,6)",4 phòng,2 WC,2,Nam,Nam,Sổ hồng
1.000 tỷ,"56, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,"508 m² (19,0x26,0)",N/A,N/A,12,N/A,N/A,Sổ hồng
