Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"1,6 tỷ","Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","28 m² (4,0x7,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"26,5 tỷ","56A, Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"144 m² (8,0x18,0)",N/A,N/A,3,N/A,N/A,Sổ hồng
9 tỷ,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","61 m² (4,0x16,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
18 tỷ,"Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"113 m² (5,0x22,5)",28 phòng,28 WC,N/A,N/A,N/A,Sổ hồng
28 tỷ,"Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"206 m² (10,0x20,0)",6 phòng,7 WC,3,N/A,N/A,Sổ hồng
"5,1 tỷ","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"7,38 tỷ","Đường Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"68 m² (3,8x17,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"3,35 tỷ","Đường Sơn Kỳ, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16 tỷ,"Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"92 m² (4,0x23,0)",3 phòng,3 WC,4,N/A,N/A,Sổ hồng
"5,9 tỷ","Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
100 tỷ,"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","2.000 m² (40,0x50,0)",10 phòng,10 WC,N/A,N/A,N/A,Sổ hồng
"7,7 tỷ","Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",5 phòng,5 WC,4,N/A,N/A,Sổ hồng
"1,65 tỷ","Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","20 m² (4,0x5,0)",2 phòng,2 WC,N/A,N/A,Tây,Sổ hồng
"9,3 tỷ","Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"55 m² (4,1x13,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,26 tỷ","Đường Cao Văn Ngọc, Phường Phú Trung, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"8,55 tỷ","Đường T6, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"60 m² (4,0x15,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"12,5 tỷ","Đường Nguyễn Ngọc Nhựt, Phường Tân Quý, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"83 m² (4,0x21,0)",3 phòng,4 WC,N/A,N/A,Đông,Sổ hồng
8 tỷ,"Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TP.HCM","Nhà hẻm, ngõ","80 m² (4,0x20,0)",5 phòng,4 WC,4,N/A,N/A,Sổ hồng
"4,05 tỷ","97, Đường Đỗ Thị Tâm, Phường Tân Quý, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"23,5 m² (3,5x7,0)",2 phòng,2 WC,1,N/A,N/A,Sổ hồng
6 tỷ,"32, 32, Quận Tân Phú, TP.HCM",Nhà mặt tiền,"56 m² (4,0x14,0)",2 phòng,2 WC,N/A,Đông Nam,Tây Bắc,Sổ đỏ
