Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"1,01 tỷ","Đường Nguyễn Văn Luông, Phường 10, Quận 6, TP.HCM","Nhà hẻm, ngõ","58 m² (4,0x14,5)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"4,99 tỷ","Đường Văn Thân, Phường 8, Quận 6, TP.HCM","Nhà hẻm, ngõ","56 m² (3,3x16,0)",4 phòng,2 WC,3,N/A,N/A,Sổ hồng
"12,2 tỷ","Đường Phạm Văn Chí, Phường 3, Quận 6, TP.HCM",Nhà mặt tiền,"68 m² (3,8x17,5)",1 phòng,1 WC,2,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường An Dương Vương, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ","58 m² (3,6x16,0)",3 phòng,2 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
"17,5 tỷ","Đường Bà Hom, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ","310 m² (8,2x37,0)",8 phòng,6 WC,N/A,N/A,Tây Nam,Sổ hồng
910 triệu,"Đường Nguyễn Văn Luông, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,29 tỷ","Đường Cư xá Phú Lâm A, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","36 m² (4,8x8,5)",2 phòng,1 WC,N/A,Đông Bắc,Đông Bắc,Sổ hồng
"8,9 tỷ","Đường 33, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",4 phòng,5 WC,4,N/A,Tây,Sổ hồng
"8,1 tỷ","Đường Cư Xá Phú Lâm B, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ",80 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"11,5 tỷ","Đường Bình Phú, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"8,6 tỷ","78A4, Đường Cao Văn Lầu, Phường 2, Quận 6, TP.HCM",Nhà mặt tiền,"57 m² (3,0x11,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"18,5 tỷ","Đường Cư Xá Phú Lâm B, Phường 13, Quận 6, TP.HCM",Nhà mặt tiền,"87 m² (5,0x18,0)",N/A,N/A,4,Tây Bắc,Tây Bắc,Sổ hồng
