Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
25 tỷ,"13, Đường Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, TP.HCM","Biệt thự, Villa","90 m² (6,0x15,0)",4 phòng,5 WC,5,N/A,N/A,Sổ hồng
"4,55 tỷ","Đường Trần Hữu Trang, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","63,8 m²",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"14,8 tỷ","1162/2, Đường Trường Sa, Phường 13, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","86 m² (5,2x17,0)",5 phòng,6 WC,4,N/A,N/A,Sổ hồng
"4,95 tỷ","120/68/23, Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","27,1 m²",2 phòng,3 WC,3,N/A,N/A,Sổ hồng
"35,8 tỷ","Đường Phan Xích Long, Phường 3, Quận Phú Nhuận, TP.HCM","Biệt thự, Villa","210 m² (11,0x20,0)",8 phòng,6 WC,3,N/A,N/A,Sổ hồng
"15,7 tỷ","153/25e, Đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","164 m² (13,2x13,4)",9 phòng,10 WC,4,N/A,N/A,Sổ hồng
"21,5 tỷ","Đường Hoa Lan, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",6 phòng,5 WC,3,N/A,N/A,Sổ đỏ
26 tỷ,"Đường Hoa Hồng, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",6 phòng,5 WC,4,N/A,N/A,Sổ đỏ
27 tỷ,"Đường Trường Sa, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"63 m² (6,0x11,0)",5 phòng,4 WC,N/A,N/A,Tây Nam,Sổ hồng
"4,25 tỷ","Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"3,28 tỷ","Đường Trần Cao Vân, Phường 12, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"19,8 tỷ","Đường Cù Lao, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","77 m² (4,6x17,0)",N/A,N/A,3,N/A,N/A,Sổ hồng
